normalized_title,days,example_titles
alipaywallet-[date-time].ips,0318|0401,AlipayWallet-2026-03-18-012619.ips || AlipayWallet-2026-03-18-062141.ips || AlipayWallet-2026-03-18-042613.ips || AlipayWallet-2026-03-18-215111.ips || AlipayWallet-2026-03-18-094827.ips
analytics-[date-time].ips.ca.synced,0318|0401,Analytics-2026-03-18-070010.ips.ca.synced || Analytics-2026-03-18-085113.ips.ca.synced || Analytics-2026-04-01-070200.ips.ca.synced
assetsd-[date-time].ips,0318|0401,assetsd-2026-03-18-170347.ips || assetsd-2026-03-18-171452.ips || assetsd-2026-04-01-070524.ips
calaccessd-[date-time].ips,0318|0401,calaccessd-2026-03-18-085542.ips || calaccessd-2026-03-18-085546.ips || calaccessd-2026-03-18-210151.ips || calaccessd-2026-03-18-214928.ips || calaccessd-2026-04-01-143300.ips
duetexpertd.cpu_resource-[date-time].ips,0318|0401,duetexpertd.cpu_resource-2026-03-18-234748.ips || duetexpertd.cpu_resource-2026-04-01-125722.ips || duetexpertd.cpu_resource-2026-04-01-125722.ips
forcereset-full-[date-time].0002.ips,0318|0401,forceReset-full-2026-03-18-224414.0002.ips || forceReset-full-2026-04-01-024954.0002.ips || forceReset-full-2026-04-01-024954.0002.ips
jetsamevent-[date-time].ips,0318|0401,JetsamEvent-2026-03-17-061042.ips || JetsamEvent-2026-03-18-024830.ips || JetsamEvent-2026-03-18-194006.ips || JetsamEvent-2026-04-01-091932.ips || JetsamEvent-2026-04-01-100312.ips
maild-[date-time].ips,0318|0401,maild-2026-03-17-031245.ips || maild-2026-03-17-061100.ips || maild-2026-03-17-063351.ips || maild-2026-03-18-090417.ips || maild-2026-03-18-172927.ips
ospredictiond.cpu_resource-[date-time].ips,0318|0401,ospredictiond.cpu_resource-2026-03-18-225721.ips || ospredictiond.cpu_resource-2026-03-18-091616.ips || ospredictiond.cpu_resource-2026-04-01-013740.ips || ospredictiond.cpu_resource-2026-04-01-122618.ips
proactive_event_tracker-com_apple_trial-com_apple_triald-[date-time].ips,0318|0401,proactive_event_tracker-com_apple_Trial-com_apple_triald-2026-03-18-231259.ips || proactive_event_tracker-com_apple_Trial-com_apple_triald-2026-03-18-101013.ips || proactive_event_tracker-com_apple_Trial-com_apple_triald-2026-04-01-125620.ips || proactive_event_tracker-com_apple_Trial-com_apple_triald-2026-04-01-125620.ips
resetcounter-[date-time].ips,0318|0401,ResetCounter-2026-03-18-224445.ips || ResetCounter-2026-04-01-025007.ips || ResetCounter-2026-04-01-025007.ips
screenshotservicesservice-[date-time].ips,0318|0401,ScreenshotServicesService-2026-03-18-171501.ips || ScreenshotServicesService-2026-04-01-070116.ips || ScreenshotServicesService-2026-04-01-122500.ips
searchd.diskwrites_resource-[date-time].ips,0318|0401,searchd.diskwrites_resource-2026-03-18-231138.ips || searchd.diskwrites_resource-2026-04-01-031603.ips || searchd.diskwrites_resource-2026-04-01-142801.ips
sfa-ckks.json-[date-time].ips,0318|0401,SFA-ckks.json-2026-03-18-032535.ips || SFA-ckks.json-2026-03-18-233121.ips || SFA-ckks.json-2026-04-01-013556.ips || SFA-ckks.json-2026-04-01-072027.ips
sfa-cloudservices.json-[date-time].ips,0318|0401,SFA-CloudServices.json-2026-03-18-032533.ips || SFA-CloudServices.json-2026-03-18-233119.ips || SFA-CloudServices.json-2026-04-01-072025.ips || SFA-CloudServices.json-2026-04-01-013554.ips || SFA-CloudServices.json-2026-04-01-171558.ips
sfa-local.json-[date-time].ips,0318|0401,SFA-local.json-2026-03-18-032536.ips || SFA-local.json-2026-03-18-233122.ips || SFA-local.json-2026-04-01-013557.ips
sfa-networking.json-[date-time].ips,0318|0401,SFA-networking.json-2026-03-18-032534.ips || SFA-networking.json-2026-03-18-233120.ips || SFA-networking.json-2026-04-01-013555.ips || SFA-networking.json-2026-04-01-072026.ips || SFA-networking.json-2026-04-01-171559.ips
sfa-pcs.json-[date-time].0002.ips,0318|0401,SFA-pcs.json-2026-03-18-032535.0002.ips || SFA-pcs.json-2026-03-18-233121.0002.ips || SFA-pcs.json-2026-04-01-013556.0002.ips || SFA-pcs.json-2026-04-01-072027.0002.ips
sfa-sos.json-[date-time].000.ips,0318|0401,SFA-sos.json-2026-03-18-233121.000.ips || SFA-sos.json-2026-03-18-032535.000.ips || SFA-sos.json-2026-04-01-013556.000.ips || SFA-sos.json-2026-04-01-072027.000.ips
sirisearchfeedback-[date-time].ips,0318|0401,SiriSearchFeedback-2026-03-17-013929.ips || SiriSearchFeedback-2026-03-17-030132.ips || SiriSearchFeedback-2026-03-17-030803.ips || SiriSearchFeedback-2026-03-18-005931.ips || SiriSearchFeedback-2026-03-18-010032.ips
stacks-[date-time].ips,0318|0401,stacks-2026-03-18-015125.ips || stacks-2026-03-18-021624.ips || stacks-2026-03-18-021625.ips || stacks-2026-03-18-025940.ips || stacks-2026-03-18-024538.ips
xp_amp_app_usage_dnu-[date-time].ips,0318|0401,xp_amp_app_usage_dnu-2026-03-18-002027.ips || xp_amp_app_usage_dnu-2026-03-18-121501.ips || xp_amp_app_usage_dnu-2026-04-01-002904.ips || xp_amp_app_usage_dnu-2026-04-01-122733.ips
