gen_id,manifest_date,BackupState,SnapshotState,log_day_id,log_title,log_datetime,delta_minutes_log_minus_manifest,abs_delta_minutes,within_60m,within_180m,within_360m,matched_layer_count,matched_layers,process_tokens
0318_155727,2026-03-18,empty,uploading,0318,managedappdistributiond-2026-03-18-170345.0002.ips,2026-03-18 17:03:45,66.3,66.3,False,True,True,5,account_cloud|restriction_management|telecom|orchestration_trigger|evidence_backup_storage,managedappdistributiond
0318_155727,2026-03-18,empty,uploading,0318,managedappdistributiond-2026-03-18-1703452.ips,2026-03-18 17:03:45,66.3,66.3,False,True,True,5,account_cloud|restriction_management|telecom|orchestration_trigger|evidence_backup_storage,managedappdistributiond
0318_155727,2026-03-18,empty,uploading,0318,assetsd-2026-03-18-170347.ips,2026-03-18 17:03:47,66.33,66.33,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,assistantd-2026-03-18-171451.ips,2026-03-18 17:14:51,77.4,77.4,False,True,True,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,assetsd-2026-03-18-171452.ips,2026-03-18 17:14:52,77.42,77.42,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,stacks-2026-03-18-171457.ips,2026-03-18 17:14:57,77.5,77.5,False,True,True,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,ScreenshotServicesService-2026-03-18-171501.ips,2026-03-18 17:15:01,77.57,77.57,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,fitnesscoachingd-2026-03-18-171606.ips,2026-03-18 17:16:06,78.65,78.65,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-172922.ips,2026-03-18 17:29:22,91.92,91.92,False,True,True,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,maild-2026-03-18-172927.ips,2026-03-18 17:29:27,92.0,92.0,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,stacks-2026-03-18-173628.ips,2026-03-18 17:36:28,99.02,99.02,False,True,True,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-173633.ips,2026-03-18 17:36:33,99.1,99.1,False,True,True,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-140628.ips,2026-03-18 14:06:28,-110.98,110.98,False,True,True,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,maild-2026-03-18-175217.000.ips,2026-03-18 17:52:17,114.83,114.83,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,maild-2026-03-18-175217.ips,2026-03-18 17:52:17,114.83,114.83,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,maild-2026-03-18-175219.ips,2026-03-18 17:52:19,114.87,114.87,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,maild-2026-03-18-175229.ips,2026-03-18 17:52:29,115.03,115.03,False,True,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-175335.ips,2026-03-18 17:53:35,116.13,116.13,False,True,True,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,stacks+bluetoothd-2026-03-18-193925.ips,2026-03-18 19:39:25,221.97,221.97,False,False,True,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,stacks+bluetoothd-2026-03-18-193926.ips,2026-03-18 19:39:26,221.98,221.98,False,False,True,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-193952.ips,2026-03-18 19:39:52,222.42,222.42,False,False,True,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,xp_amp_app_usage_dnu-2026-03-18-121501.ips,2026-03-18 12:15:01,-222.43,222.43,False,False,True,1,usage_state,usage
0318_155727,2026-03-18,empty,uploading,0318,JetsamEvent-2026-03-18-194006.ips,2026-03-18 19:40:06,222.65,222.65,False,False,True,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-195133.ips,2026-03-18 19:51:33,234.1,234.1,False,False,True,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,stacks-2026-03-18-195647.ips,2026-03-18 19:56:47,239.33,239.33,False,False,True,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,maild-2026-03-18-201151.ips,2026-03-18 20:11:51,254.4,254.4,False,False,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,calaccessd-2026-03-18-210151.ips,2026-03-18 21:01:51,304.4,304.4,False,False,True,6,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,maild-2026-03-18-211613.ips,2026-03-18 21:16:13,318.77,318.77,False,False,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-102456.ips,2026-03-18 10:24:56,-332.52,332.52,False,False,True,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,medialibraryd-2026-03-18-213931.ips,2026-03-18 21:39:31,342.07,342.07,False,False,True,4,account_cloud|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,proactive_event_tracker-com_apple_Trial-com_apple_triald-2026-03-18-101013.ips,2026-03-18 10:10:13,-347.23,347.23,False,False,True,3,telecom|orchestration_trigger|evidence_backup_storage,triald
0318_155727,2026-03-18,empty,uploading,0318,calaccessd-2026-03-18-214928.ips,2026-03-18 21:49:28,352.02,352.02,False,False,True,5,account_cloud|restriction_management|telecom|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,dmd-2026-03-18-214928.000.ips,2026-03-18 21:49:28,352.02,352.02,False,False,True,5,account_cloud|restriction_management|telecom|orchestration_trigger|evidence_backup_storage,dmd
0318_155727,2026-03-18,empty,uploading,0318,AlipayWallet-2026-03-18-215111.ips,2026-03-18 21:51:11,353.73,353.73,False,False,True,6,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,stacks-2026-03-18-215757.ips,2026-03-18 21:57:57,360.5,360.5,False,False,False,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-215803.ips,2026-03-18 21:58:03,360.6,360.6,False,False,False,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-095145.ips,2026-03-18 09:51:45,-365.7,365.7,False,False,False,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-094927.ips,2026-03-18 09:49:27,-368.0,368.0,False,False,False,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,stacks-2026-03-18-094925.ips,2026-03-18 09:49:25,-368.03,368.03,False,False,False,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,AlipayWallet-2026-03-18-094827.ips,2026-03-18 09:48:27,-369.0,369.0,False,False,False,6,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,SiriSearchFeedback-2026-03-18-094715.ips,2026-03-18 09:47:15,-370.2,370.2,False,False,False,1,orchestration_trigger,other
0318_155727,2026-03-18,empty,uploading,0318,stacks-2026-03-18-094712.ips,2026-03-18 09:47:12,-370.25,370.25,False,False,False,7,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage|usage_state,other
0318_155727,2026-03-18,empty,uploading,0318,com.apple.DocumentManager.Service-2026-03-18-092528.000.ips,2026-03-18 09:25:28,-391.98,391.98,False,False,False,6,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage,other
0318_155727,2026-03-18,empty,uploading,0318,com.apple.DocumentManager.Service-2026-03-18-092528.ips,2026-03-18 09:25:28,-391.98,391.98,False,False,False,6,account_cloud|restriction_management|telecom|fileprovider|orchestration_trigger|evidence_backup_storage,other
