bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
00,True,84,12591856,0.0117,0,38,5,0,"{""snapshot_file"": 84}","{""binary_or_unknown"": 84}"
01,True,75,9092896,0.0085,0,32,1,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
02,True,86,343797648,0.3202,0,41,3,1,"{""snapshot_file"": 86}","{""binary_or_unknown"": 85, ""json_like"": 1}"
03,True,64,17741536,0.0165,0,25,2,0,"{""snapshot_file"": 64}","{""binary_or_unknown"": 64}"
04,True,69,6317184,0.0059,0,29,1,0,"{""snapshot_file"": 69}","{""binary_or_unknown"": 69}"
05,True,90,39597936,0.0369,0,34,6,0,"{""snapshot_file"": 90}","{""binary_or_unknown"": 89, ""json_like"": 1}"
06,True,56,4443504,0.0041,0,22,1,0,"{""snapshot_file"": 56}","{""binary_or_unknown"": 55, ""json_like"": 1}"
07,True,75,163488608,0.1523,0,28,3,1,"{""snapshot_file"": 75}","{""binary_or_unknown"": 74, ""json_like"": 1}"
08,True,83,970496672,0.9038,0,31,7,3,"{""snapshot_file"": 83}","{""binary_or_unknown"": 82, ""json_like"": 1}"
09,True,70,13714864,0.0128,0,30,2,0,"{""snapshot_file"": 70}","{""binary_or_unknown"": 70}"
0a,True,75,8724000,0.0081,0,34,3,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
0b,True,70,12686672,0.0118,0,28,4,0,"{""snapshot_file"": 70}","{""binary_or_unknown"": 69, ""json_like"": 1}"
0c,True,71,24900688,0.0232,0,21,7,0,"{""snapshot_file"": 71}","{""binary_or_unknown"": 70, ""json_like"": 1}"
0d,True,89,351590576,0.3274,0,34,7,1,"{""snapshot_file"": 89}","{""binary_or_unknown"": 88, ""json_like"": 1}"
0e,True,76,7673984,0.0071,0,32,2,0,"{""snapshot_file"": 76}","{""binary_or_unknown"": 76}"
0f,True,78,14193424,0.0132,0,28,4,0,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
