gen_id,bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
0401_020720,00,True,26,481040,0.0004,0,13,0,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 25, ""json_like"": 1}"
0401_020720,01,True,36,1007792,0.0009,0,18,0,0,"{""snapshot_file"": 36}","{""binary_or_unknown"": 36}"
0401_020720,02,True,35,4152432,0.0039,0,19,1,0,"{""snapshot_file"": 35}","{""binary_or_unknown"": 35}"
0401_020720,03,True,25,1474320,0.0014,0,11,0,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,04,True,29,1586592,0.0015,0,14,0,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,05,True,30,14927536,0.0139,0,14,1,0,"{""snapshot_file"": 30}","{""binary_or_unknown"": 30}"
0401_020720,06,True,20,528144,0.0005,0,9,0,0,"{""snapshot_file"": 20}","{""binary_or_unknown"": 20}"
0401_020720,07,True,31,2871024,0.0027,0,12,1,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 31}"
0401_020720,08,True,29,319916016,0.2979,0,9,3,1,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,09,True,28,917568,0.0009,0,14,0,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,0a,True,33,1422272,0.0013,0,16,0,0,"{""snapshot_file"": 33}","{""binary_or_unknown"": 32, ""json_like"": 1}"
0401_020720,0b,True,27,2923488,0.0027,0,13,1,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,0c,True,16,7340512,0.0068,0,3,1,0,"{""snapshot_file"": 16}","{""binary_or_unknown"": 16}"
0401_020720,0d,True,29,2946784,0.0027,0,10,1,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,0e,True,27,1014656,0.0009,0,11,0,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,0f,True,24,776560,0.0007,0,7,0,0,"{""snapshot_file"": 24}","{""binary_or_unknown"": 24}"
0401_020720,10,True,36,4532048,0.0042,0,13,2,0,"{""snapshot_file"": 36}","{""binary_or_unknown"": 36}"
0401_020720,11,True,19,790528,0.0007,0,11,0,0,"{""snapshot_file"": 19}","{""binary_or_unknown"": 19}"
0401_020720,12,True,20,1681904,0.0016,0,7,1,0,"{""snapshot_file"": 20}","{""binary_or_unknown"": 19, ""json_like"": 1}"
0401_020720,13,True,21,5265648,0.0049,0,5,1,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 21}"
0401_020720,14,True,21,12769600,0.0119,0,7,1,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 21}"
0401_020720,15,True,22,2075072,0.0019,0,7,1,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 22}"
0401_020720,16,True,32,737680,0.0007,0,14,0,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 31, ""json_like"": 1}"
0401_020720,17,True,28,3158736,0.0029,0,11,1,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,18,True,29,4235216,0.0039,0,6,1,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 28, ""json_like"": 1}"
0401_020720,19,True,37,5714016,0.0053,0,17,3,0,"{""snapshot_file"": 37}","{""binary_or_unknown"": 37}"
0401_020720,1a,True,25,615920,0.0006,0,7,0,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,1b,True,28,485856,0.0005,0,14,0,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,1c,True,21,1439968,0.0013,0,10,0,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 21}"
0401_020720,1d,True,21,3107904,0.0029,0,7,1,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 21}"
0401_020720,1e,True,33,32253712,0.03,0,12,3,0,"{""snapshot_file"": 33}","{""binary_or_unknown"": 32, ""json_like"": 1}"
0401_020720,1f,True,26,572544,0.0005,0,13,0,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 26}"
0401_020720,20,True,32,3397024,0.0032,0,13,1,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,21,True,30,1289120,0.0012,0,12,0,0,"{""snapshot_file"": 30}","{""binary_or_unknown"": 30}"
0401_020720,22,True,23,3295008,0.0031,0,8,1,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,23,True,25,833264,0.0008,0,9,0,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,24,True,21,601696,0.0006,0,11,0,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 21}"
0401_020720,25,True,23,3440352,0.0032,0,10,1,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,26,True,32,753200,0.0007,0,14,0,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,27,True,29,4355152,0.0041,0,13,2,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,28,True,34,322557248,0.3004,0,12,1,1,"{""snapshot_file"": 34}","{""binary_or_unknown"": 33, ""json_like"": 1}"
0401_020720,29,True,39,4683600,0.0044,0,19,1,0,"{""snapshot_file"": 39}","{""binary_or_unknown"": 39}"
0401_020720,2a,True,33,5649632,0.0053,0,12,2,0,"{""snapshot_file"": 33}","{""binary_or_unknown"": 32, ""json_like"": 1}"
0401_020720,2b,True,25,3243776,0.003,0,10,2,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,2c,True,30,528211328,0.4919,0,17,3,1,"{""snapshot_file"": 30}","{""binary_or_unknown"": 30}"
0401_020720,2d,True,16,624670848,0.5818,0,5,3,2,"{""snapshot_file"": 16}","{""binary_or_unknown"": 15, ""json_like"": 1}"
0401_020720,2e,True,35,5593280,0.0052,0,14,1,0,"{""snapshot_file"": 35}","{""json_like"": 1, ""binary_or_unknown"": 34}"
0401_020720,2f,True,22,319928192,0.298,0,10,1,1,"{""snapshot_file"": 22}","{""binary_or_unknown"": 22}"
0401_020720,30,True,30,320204432,0.2982,0,10,1,1,"{""snapshot_file"": 30}","{""binary_or_unknown"": 30}"
0401_020720,31,True,31,320173360,0.2982,0,12,1,1,"{""snapshot_file"": 31}","{""binary_or_unknown"": 31}"
0401_020720,32,True,29,3867408,0.0036,0,10,2,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,33,True,22,623824,0.0006,0,11,0,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 22}"
0401_020720,34,True,24,2036512,0.0019,0,9,1,0,"{""snapshot_file"": 24}","{""binary_or_unknown"": 24}"
0401_020720,35,True,21,274752,0.0003,0,10,0,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 21}"
0401_020720,36,True,22,1943296,0.0018,0,4,0,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 22}"
0401_020720,37,True,30,1536576,0.0014,0,10,0,0,"{""snapshot_file"": 30}","{""binary_or_unknown"": 29, ""json_like"": 1}"
0401_020720,38,True,34,8356512,0.0078,0,16,3,0,"{""snapshot_file"": 34}","{""binary_or_unknown"": 34}"
